wild	야생의
dread	두려워하다
reverse	뒤집다
rarely	드물게
hardness	딱딱함
frighten	놀라게하다
brilliant	찬란한
suffering	괴로움
reflection	그림자
mental	마음의
block	막다
utter	말하다
hawk	매
medium	매개물(체)
devour	먹어치우다
contempt	멸시
civilization	문명(화)
bid	명령하다
obviously	명백하게
scream	비명을지르다
witness	목격하다
valueless	무가치한
weapon	무기
rude	무례한
dreadful	무서운
penniless	무일푼의
virtue	미덕
schedule	예정표
machine	기계
route	길
ivy	담쟁이덩굴
gift	선물
candle	초
joke	농담
art	예술
corn	옥수수
pet	애완동물
planet	혹성
cheek	볼
clerk	사무원
cooky	쿠키
word	낱말
nurse	간호사
master	주인
lock	자물쇠
moment	순간
sheet	침대의시트
monk	승려
teenager	십대소년(소녀)
closet	벽장
handle	자루
guide	안내자
example	예
lesson	학과
plenty	풍부
luck	행운
cover	덮개
health	건강
history	역사
forest	숲
stream	흐름
useless	쓸모없는
busy	바쁜
early	이른
past	과거의
dark	어두운
cloudy	구름이낀
short	짧은
low	낮은
sincerely	성실히
fortunately	운좋게
finally	최후로
immediately	곧
especially	특별히
else	그밖에
actually	실제로
hardly	거의~아니다
otherwise	다른방법으로
tightly	단단히
recently	최근에
rapidly	빨리
however	아무리~해도
politely	공손히
rudely	무례하게
further	더욱이
frankly	솔직히
properly	적당히
hastily	서둘러서
rather	오히려
together	함께
altogether	전혀
suddenly	갑자기
most	대부분
correctly	정확히
ahead	앞으로
instead	대신에
quite	아주
nearly	거의
badly	나쁘게
almost	거의
exactly	정확히
apart	떨어져서
afterward	후에
later	후에
maybe	아마도
perhaps	아마도
probably	아마도
either	어느한쪽의
neither	어느～도～아니다
besides	게다가
anyway	어쨌든
sometime	언젠가
forward	앞쪽에
since	그후
once	한번
twice	두번
indeed	참으로
seldom	좀처럼~하지않다
upside-down	거꾸로
whether	~인지어떤지
unless	~하지않으면
astonish	놀라게하다
disappoint	실망시키다
attract	끌다
celebrate	축하하다
explode	폭발하다
include	포함하다
hunger	굶주림
tomb	묘
taste	맛
sign	부호
stair	계단
trip	여행
brain	뇌
trumpet	나팔
speech	말
thumb	엄지손가락
horn	뿔
chief	장/우두머리
trousers	바지
prince	왕자
force	힘
sight	광경
space	공간
wool	양모
expressway	고속도로
science	과학
jar	항아리
salt	소금
death	죽음
saw	톱
swing	그네
wish	소원
grain	곡식
eraser	지우개
alphabet	알파벳
shoulder	어깨
nephew	조카
niece	조카딸
library	도서관
factory	공장
though	~이지만
while	~하는동안
usually	보통
safely	안전하게
along	~을따라서
without	~없이
behind	~의뒤에
beyond	~의저쪽에
below	~의아래에
toward	~쪽으로
giraffe	기린
hawk	매
pigeon	비둘기
bowl	사발
scene	장면
life	생명
earth	지구
pill	알약
math	수학
ocean	대양
price	값
row	줄
locate	위치하다
charge	청구하다
review	복습
refuse	거절하다
complain	불평하다
remain	남다
warn	경고하다
bend	구부리다
suffer	괴로워하다
whisper	속삭이다
replace	~을대신(대체)하다
collect	모으다
upset	뒤엎다
arrest	체포하다
prove	증명하다
yell	외치다
howl	짖다
halt	정지하다
leak	새다
behave	행동하다
wrap	싸다
surround	둘러싸다
cleave	쪼개다
except	제외하다
invent	발명하다
search	찾다
resource	자원
owe	힘입다
bless	축복하다
graduate	졸업하다
branch	가지
hero	영웅
heaven	하늘
exit	출구
beast	짐승
century	세기
coeducation	남녀공학
twin	쌍둥이중한명
wound	상처
metal	금속
insect	곤충
track	지나간자국
examination	시험
carve	새기다
spring	봄
summer	여름
autumn	가을
winter	겨울
remember	기억하다
forget	잊다
today	오늘
tomorrow	내일
yesterday	어제
idea	생각
culture	문화
experience	경험
education	교육
symbol	상징
effect	결과
liberty	자유
affair	사건
comfort	안락
tradition	전통
subject	학과
object	사물
source	출처
revolution	혁명
pollution	오염
system	조직
triumph	승리
respect	존경
communication	전달
foundation	기초
glory	영광
situation	위치
competition	경쟁
prairie	대초원
effort	노력
section	부분
rein	고삐
solution	해결
honour	명예
unit	통일
population	인구
direction	방향
dialog	대화
republic	공화국
method	방법
increase	증가하다
amount	양
ancestor	조상
voyage	항해
sculpture	조각(품)
instrument	기구
pitch	던지다
pop	탁튀다
blow	불다
miss	놓치다
excuse	용서(변명)하다
hit	치다
tie	매다
touch	접촉하다
stay	머무르다
enjoy	즐기다
elder	손위의
such	그러한
able	유능한
loud	목소리가큰
simple	간단한
clever	영리한
proud	자랑스러운
foolish	어리석은
possible	가능한
enough	충분한
brown	갈색의
difficult	어려운
interesting	재미있는
unlike	같지않은
different	다른
least	가장적은
afraid	무서워하여
cool	서늘한
pretty	예쁜
kind	친절한
sick	병든
lose	잃다
close	닫다
arrive	도착하다
travel	여행하다
reach	도착하다
hold	쥐다
worry	걱정하다
marry	결혼하다
expect	기대하다
ancient	고대의
nuclear	핵의
necessary	필요한
common	공통의
inner	안쪽의
wise	현명한
wide	넓은
clean	깨끗한
deep	깊은
cheap	값싼
jewel	보석
garage	차고
fault	결점
lantern	랜턴
import	수입
angle	각도
match	시합
stripe	줄무늬
pulse	맥박
powder	가루
flood	홍수
bush	숲
wagon	짐마차
fact	사실
joy	기쁨
concert	음악회
rule	규칙
suitcase	여행가방
weight	무게
hurray	만세!
mail	우편(물)
log	통나무
hut	오두막집
tax	세금
dye	물감
scratch	할퀴다
crash	충돌
stare	응시하다
gaze	바라보다
scare	놀라다
describe	묘사하다
select	고르다
hesitate	주저하다
declare	선언하다
pretend	~인체하다
dish	접시
explore	탐험하다
shout	외치다
mention	말하다
waste	낭비
figure	모습
activity	활동
cause	원인
worth	가치
accident	사고
adventure	모험
relative	친척
superstition	미신
habit	습관
wealth	재산
treasure	보물
universe	우주
adult	성인
feast	향연
resource	자원
ruin	파멸
monument	기념비(물)
information	정보
appetite	식욕
unification	통일
single	독신의
diligent	부지런한
serious	진지한
fresh	신선한
empty	빈
mild	온화한
amazing	놀라운
charming	매력적인
boring	지겨운
giant	거대한
huge	거대한
tiny	몹시작은
fair	공평한
tough	단단한
foreign	외국의
modern	현대의
expensive	값비싼
harmful	해로운
calm	평온한
special	특별한
borrow	빌리다
complete	완전한
excellent	뛰어난
competent	유능한
religious	종교적인
favorite	아주좋아하는
valuable	귀중한
grave	중대한
elementary	초보의
crazy	미친
premium	보험료
retract	취소하다
mystery	신비
thermometer	온도계
shallow	깊지않은
evidence	증거
consumption	소비
identify	식별하다
patrolman	순찰자
novice	초보자
burden	무거운짐
series	연속
oath	맹세
appointment	임명
clue	실마리
debt	빚
hydrogen	수소
control	통제
uniform	제복
design	계획
damage	손해
custom	습관
traffic	교통
sophomore	2학년생
temperature	온도
limit	제한
statue	조각상
furniture	가구
parade	행렬
duplicate	복사하다
public	공중
pilgrim	순례자
greeting	인사
language	언어
autobiography	자서전
opinion	견해
fiction	허구
reconciliation	화해
athlete	운동선수
supply	공급
surface	표면
objective	객관적인
order	순서
illuminate	밝게하다
migrant	이주하는
spirit	정신
purpose	목적
promise	약속
project	계획
government	정부
dart	작은화살
exercise	운동
comparison	비교
interest	이익
funeral	장례식
senior	선배
junior	후배
democracy	민주주의
general	일반적인
admiral	해군대장
edge	가장자리
contemporary	동시대의
biology	생물학
danger	위험
advice	충고
exclaim	외치다
obstacle	장애물
practice	연습
mammal	포유동물
grade	등급
score	득점
commend	칭찬하다
pause	중지
bury	파묻다
pronunciation	발음
stress	압박
contest	경쟁
horizon	수평선
penalize	처벌하다
principal	교장
decade	10년
reflect	반사(반영)하다
might	힘
trouble	고생
balance	균형
proverb	속담
executive	행정상의
semester	학기
miniature	작은
disaster	재난
conceal	감추다
election	선거
inning	회(回)
hollow	구멍
degree	도
biography	전기
cemetery	묘지
spot	장소
exchange	교환
merchant	상인
saying	격언
refrigerator	냉장고
crack	갈라진금
judge	재판관
slave	노예
settler	이주민
fare	요금
gesture	몸짓
type	유형
secretary	비서
devil	악마
scholar	학자
pardon	용서
kindergarten	유치원
detective	탐정
license	면허(증)
palace	궁전
square	정사각형
harvest	수확
tool	도구
sword	검
magazine	잡지
stadium	육상경기장
care	걱정
beauty	아름다움
museum	박물관
sentence	문장
hero	영웅
heaven	하늘
exit	출구
memory	기억(력)
delight	기쁨
passenger	승객
skill	숙련
journey	여행
ceremony	의식
hobby	취미
president	대통령
address	주소
continent	대륙
mankind	인류
patient	환자
site	부지
marble	대리석
stem	줄기
slip	미끄러짐
torch	횃불
composer	작곡가
invader	침입자
trick	계략
flight	비행
castle	성
envelope	봉투
pal	친구
vacation	휴가
desert	사막
event	사건
theater	극장
stage	무대
error	잘못
area	면적
base	기초
basement	지하실
evil	악
atom	원자
poet	시인
chance	기회
mind	마음
climate	기후
suburb	교외
throat	목구멍
voice	목소리
valley	골짜기
feather	깃털
amateur	아마추어
nation	국민
puzzle	수수께끼
riddle	수수께끼
rear	뒤쪽
battle	싸움
laundry	세탁소
shower	소나기
navy	해군
Mars	화성
gallery	화랑
guest	손님
folk	사람들
problem	문제
deserve	받을가치가있다
survive	～에서살아남다
create	창조하다
protect	보호하다
introduce	소개(도입)하다
produce	생산하다
chase	쫓다
guard	지키다
discuss	토론하다
shrug	어깨를으쓱하다
scream	날카롭게소리치다
rid	제거하다
prepare	준비하다
roar	으르렁거리다
float	뜨다
drag	질질끌다
slide	미끄러지다
suck	빨다
bother	괴롭히다
deal	다루다
treat	다루다
destroy	파괴하다
accept	받아들이다
depend	의존하다
nod	끄덕이다
remove	옮기다
beat	때리다
clap	탁치다
feed	먹을것을주다
predict	예언하다
obtain	얻다
drown	빠뜨리다
prohibition	금지
remind	생각나게하다
occur	일어나다
ache	아프다
drought	가뭄
repeat	반복하다
prehistoric	선사의
rural	시골의
attend	참석하다
sigh	한숨쉬다
pray	기도하다
press	누르다
bear	낳다
follow	따르다
hate	미워하다
frighten	깜짝놀라게하다
entire	전체의
primary	본래의
similar	비슷한
participate	참여하다
precious	귀중한
popular	인기있는
curious	호기심이강한
independent	독립의
intimate	친밀한
beverage	음료
classic	고전
delicious	맛있는
regular	규칙적인
social	사회의
straight	똑바른
mayor	시장
noble	고귀한
tolerate	참다
anxious	걱정되는
international	국제적인
greedy	탐욕스러운
stupid	어리석은
silly	어리석은
neutral	중립의
stroll	산책
contrast	대조하다
dominate	지배하다
lonely	고독한
dirty	더러운
fragile	깨지기쉬운
various	다양한
private	개인의
vain	무익한
sore	아픈
fierce	사나운
firm	굳은
solar	태양의
flint	부싯돌
hay	건초
revival	재생
million	백만
crop	농작물
shade	그늘
company	회사
suffice	충분하다
vocation	직업
flame	불꽃
shape	모양
chain	사슬
cost	비용
coast	해안
circle	원
security	안전
heart	심장
nature	자연
fever	열
tongue	혀
trust	신용
prison	교도소
blood	피
loaf	빵한덩어리
passport	여권
list	명부
distort	왜곡하다
strategy	전략
fence	울타리
enemy	적
thief	도둑
data	자료
soldier	군인
musician	음악가
capital	수도
course	진로
diary	일기
criticize	비평하다
squirrel	다람쥐
tiptoe	발끝
dawn	새벽
shadow	그림자
apprentice	견습생
simultaneously	동시에
crew	승무원
stomach	위
neighbor	이웃사람
servant	하인
bar	막대기
ostrich	타조
complicated	복잡한
knee	무릎
deck	갑판
bit	작은조각
silk	비단
cotton	솜
preface	머리말
sand	모래
expel	추방하다
traverse	가로지르다
shock	충격
fatal	치명적인
march	행진
cage	우리
paradox	역설
whole	전부
version	번역(서)
change	변화
department	부서
office	사무실
ticket	표
energy	에너지
tragedy	비극
rare	드문
hospital	병원
noise	소리
sample	견본
example	예
lesson	학과
fantastic	환상적인
plenty	풍부
asleep	잠들어있는
luck	행운
comedy	희극
future	미래
state	상태
temple	절
dictionary	사전
compare	비교하다
grammar	문법
college	단과대학
myth	신화
husband	남편
daughter	딸
captain	우두머리
forecast	예보하다
ambassador	대사(관)
extinct	사멸한
iceberg	빙산
bubble	거품
bottom	밑
prize	상(품)
bean	콩
race	경주
engineer	기사
photographer	사진사
photograph	사진
incredible	믿어지지않는
reason	이유
reasonable	합리적인
subway	지하도
aquatic	물에서사는
fog	안개
answer	대답
dining-room	식당
step	걸음
heat	열
bone	뼈
plant	식물
lamb	새끼양
rate	비율
report	보고
turtle	바다거북
bay	만
holiday	휴일
center	중심
cash	현금
wolf	이리
subsequently	나중에
operator	교환수
operate	작동(운영)하다
succeed	성공하다
fur	모피
shore	물가
owl	올빼미
hunter	사냥꾼
unanimous	만장일치의
bankrupt	지불불능의
pumpkin	호박
handshake	악수
bike	자전거
beach	해안
God	신
cough	기침
shell	껍데기
business	사업
punctual	시간을지키는
officer	공무원
hometown	고향
coil	코일
ceiling	천장
turkey	칠면조
matter	문제
chopstick	젓가락
seat	좌석
board	판자
goal	목표
drugstore	약국
rat	쥐
butterfly	나비
fatigue	피곤하게하다
couple	한쌍
beer	맥주
era	(역사상의)시대
background	배경
host	주인
bottle	병
privacy	사생활
military	군의
investigate	조사하다
flesh	살
relatively	상대적(비교적)으로
commercial	상업의
wound	상처
appreciate	감상하다
offer	제공하다
refresh	새롭게하다
village	마을
volume	서적
interpretation	해석
interpret	해석하다
missionary	선교사
persuade	설득하다
hesitate	망설이다
constructive	건설적인
reputation	명성
impatience	성급함
saint	성인
generation	세대
pine	소나무
consume	소비하다
politeness	공손
damage	손해
monk	수도승
shy	수줍어하는
luggage	수화물
beef	쇠고기
triumph	승리
label	꼬리표
primitive	원시적인
grocery	식품점
nervous	신경질적인
sacred	신성한
swift	신속한
shelter	은신처
steadily	착실하게
profound	심오한
heartily	진심으로
icy	싸늘한
civil	시민의
sew	바느질하다
violate	위반하다
ankle	발목
arise	발생하다
bud	싹
person	사람
forbid	방해하다
port	항구
jury	배심원
punishment	벌
cliff	절벽
reward	보답
quarter	사분의일
preserve	보존하다
repetition	반복
envious	부러워하는
sensible	분별력있는
unfair	불공평(정)한
handicap	불리
complaint	불평
sunrise	해돋이
sunshine	햇빛
condemn	비난하다
meanly	비열하게
proportion	비율
slender	빈약한
rapid	빠른
wedding	결혼
crown	왕관
seed	씨
coal	석탄
comb	빗
allow	허용(허락)하다
contribute	공헌(기여)하다
nonsense	헛소리
dream	꿈
fascinate	매혹시키다
volcano	화산
determined	확고한
gay	쾌활한
ultimately	최후로
criticism	비평
antarctic	남극
antipathy	혐오
timidity	소심
sugar	설탕
mile	마일
vegetable	야채
mouse	쥐
bitterly	몹시
wood	나무
war	전쟁
ground	땅
belt	띠
tourist	여행자
airport	공항
plate	접시
stone	돌
lid	뚜껑
spark	불꽃
elbow	팔꿈치
downtown	번화가
cousin	사촌
investment	투자
tooth	이
relax	편히쉬다
terror	공포
explosion	폭발
mercy	자비
potato	감자
blanket	담요
nail	손톱
scene	한장면
letter	편지
store	가게
beggar	거지
retire	물러가다
satire	풍자
deer	사슴
trace	추적하다
bill	계산서
doll	인형
pepper	후추
frog	개구리
rest	휴식
tower	탑
bridge	다리
policy	정책
burn	타다
sink	가라앉다
decide	결정(결심)하다
reply	대답하다
tear	찢다
rather	오히려
flow	흐르다
appear	나타나다
breathe	호흡하다
eliminate	제거하다
isolate	고립시키다
genius	천재
whistle	휘파람
draw	끌다
sound	소리
save	구하다
continue	계속하다
sail	항해하다
wake	깨우다
agree	동의하다
hang	걸다
climb	기어오르다
add	더하다
shine	빛나다
invite	초대하다
discipline	규율
join	결합(참가)하다
resource	자원
justify	정당화하다
hide	감추다
bring	가져(데려)오다
shoot	사격하다
benefit	이익
roll	구르다
pull	잡아당기다
guess	추측하다
belong	～에속하다
happen	일어나다
shake	떨다
fill	채우다
fail	실패하다
fight	싸우다
fear	두려워하다
carry	나르다
obey	복종하다
ride	타다
need	필요로하다
build	짓다
hurry	서두르다
return	돌아가(오)다
believe	믿다
pail	물통
surprise	놀라다
gather	모으다
throw	던지다
raise	올리다
overestimate	과대평가하다
smell	냄새를맡다
merchandise	상품
spend	소비하다
cloth	천
post	우편
snake	뱀
inherit	상속하다
parachute	낙하산
delicate	섬세한
job	직업
town	읍
fun	재미
bathroom	욕실
tail	꼬리
piece	한조각
fruit	과일
temptation	유혹
cartoon	만화
converse	대화하다
British	영국인
sale	판매
umbrella	우산
mistake	잘못
birth	출생
front	정면
present	현재
nickname	별명
pair	한쌍
weather	날씨
hole	구멍
repair	수리(수선)하다
meat	고기
